# Since my grammar is recursive, it has infinitely
# many possible words. So, I instead include a sample
# of words generated by the `random-words' command.
good+AGT.ANIM	kwãlryl
eat	kōg
forest+ADESS2	hengóna
see+AGT.INANIM	krânłyr
red+AGT.INANIM+like+AGT.ANIM	cycīlłyrłonryl
eat	kōg
red	cycīl
and	tot
metal	twazwa
and	tot
do+FUT	zàwyk
DEM.DIST.INANIM.PL	krũxkrũx
water	kwal
DEM.DIST.INANIM.PL+INESS3	krũxkrũxli
good	kwãl
do+PTCP	zàet
water+ADESS2	kwalna
heart	kîr
1.SG	wùg
DEM.DIST.INANIM.PL	krũxkrũx
1.SG+INESS2+ADESS3	wùgnila
good+HST+NEG	kwãlcathy
red	cycīl
heart	kîr
forest	hengó
or	cec
big	xrôk
good+PTCP	kwãlet
eat	kōg
do+FUT+NEG	zàwykhy
do	zà
big+HST	xrôkcat
make+AGT.INANIM+INESS3+INESS3+ADESS2+INESS3	hłĩkłyrlilinali
do+NMLZ	zàzoc
make+PTCP+AGT.ANIM	hłĩketryl
eat	kōg
good+FUT+NEG	kwãlwykhy
bright+AGT.INANIM+ADESS3	nùrłyrla
and	tot
bright	nùr
do+GER+INESS3	zàgali
big+become+AGT.ANIM+INESS3+POSS	xrôkkacryllity
do+AGT.ANIM	zàryl
and	tot
heart+INESS3+INESS2+ADESS3	kîrlinila
do+NEG	zàhy
bright	nùr
heart	kîr
or	cec
use+HST	õgcat
big+NMLZ+ADESS3+POSS	xrôkzoclaty
1.SG+POSS+ADESS3	wùgtyla
big	xrôk
eat	kōg
make	hłĩk
metal+ADESS3	twazwala
bird+ADESS3	wihǔla
bird	wihǔ
water	kwal
forest	hengó
and	tot
bright+AGT.ANIM+ADESS3+ADESS3	nùrryllala
red	cycīl
big	xrôk
forest	hengó
1.PL+INESS3	wùgwùgli
bird+like+FUT	wihǔłonwyk
eat+HST	kōgcat
forest	hengó
water	kwal
DEM.DIST.INANIM.SG+like+GER+INESS2+POSS	krũxłonganity
DEM.DIST.INANIM.SG+POSS+POSS+INESS3+ADESS3	krũxtytylila
bird	wihǔ
heart	kîr
make+FUT	hłĩkwyk
and	tot
or	cec
heart+INESS2	kîrni
and	tot
eat	kōg
forest	hengó
DEM.DIST.INANIM.SG	krũx
DEM.DIST.INANIM.PL+INESS2	krũxkrũxni
see	krân
bright+AGT.INANIM	nùrłyr
eat	kōg
bright	nùr
and	tot
forest	hengó
use+PST	õgce
heart+like	kîrłon
see+PTCP	krânet
forest+INESS2+INESS3+POSS	hengónility
red+FUT+NEG	cycīlwykhy
do+PST+NEG	zàcehy
DEM.DIST.INANIM.PL	krũxkrũx
bright	nùr
red	cycīl
big+AGT.ANIM	xrôkryl
good	kwãl

